Lon,Lat,node_id,amenity,name,cuisine
-74.9240905,38.9314775,node/2668042329,restaurant,The Blue Pig Tavern,
-74.9235904,38.9321656,node/4269020158,restaurant,Tisha's Fine Dining,
-74.9229949,38.9304472,node/4269020175,restaurant,George's Place,
-74.9222267,38.9304928,node/4269020176,restaurant,Y B,
-74.921045,38.9305072,node/4269020185,restaurant,Cabanas Beach Bar & Grill,
-74.9212548,38.9305288,node/4269020210,restaurant,Blue Moon Pizza,
-74.9286053,38.9303859,node/4269040153,restaurant,Rusty Nail,
-74.9242976,38.9321708,node/4269043553,restaurant,That's Amore,
-74.9235954,38.9325113,node/4269043554,restaurant,Louisa's Cafe,
-74.9241207,38.9319708,node/4269043556,restaurant,Cape May Pizza,
-74.9224554,38.9333619,node/4269043577,restaurant,Jojo Pizza,
-74.9194566,38.9308589,node/4269119887,restaurant,Aleathea's,
-74.9212412,38.9341178,node/4269120225,restaurant,Asian Legends,
-74.9211607,38.9340302,node/4269120226,restaurant,Mario's Pizza & Italian,
-74.9168336,38.9309033,node/4269120596,restaurant,Union Park Dining Room,
-74.9102599,38.9320212,node/4269169574,restaurant,Sea Salt,
-74.908346,38.9328039,node/4269169583,restaurant,Hemingway's,
-74.9098421,38.9466451,node/4269173977,restaurant,Big Wave Burritos,
-74.9087764,38.9466129,node/4269173982,restaurant,Cappy's Seaside Pizza & Steaks,
-74.9112036,38.9316934,node/4269812060,restaurant,Harry's Ocean Bar & Grille,
-74.9168154,38.930357,node/4269812061,restaurant,Manga Beachfront Pizza,pizza
-74.9165975,38.9304109,node/4269812062,restaurant,Surfside Delites,
-74.9170268,38.9301732,node/4987008532,restaurant,McGlades On The Pier,
-74.9182861,38.9310235,node/4987008533,restaurant,Louie's Pizza,pizza
-74.9180225,38.9302381,node/5598722999,restaurant,Mermaids restaurant,
